date, pm25, pm10, o3, no2, so2, co
2024/9/24, 17, 9, 34, 7, , 2
2024/9/25, 13, 15, 33, 10, 1, 2
2024/9/26, 31, 18, 26, 9, 1, 2
2024/9/27, 34, 15, 32, 6, 1, 2
2024/9/28, 29, 4, 12, 4, , 1
2024/9/29, 6, 8, 23, 5, , 1
2024/9/30, 9, 24, 66, 10, 2, 3
2024/4/1, 60, 32, 35, 9, 1, 3
2024/4/2, 72, 27, 24, 6, 2, 1
2024/4/3, 90, 28, 30, 9, , 2
2024/4/4, 82, 17, 35, 8, , 2
2024/4/5, 59, 21, 37, 9, 1, 3
2024/4/6, 72, 12, 36, 8, , 2
2024/4/7, 54, 13, 32, 9, , 3
2024/4/8, 51, 18, 48, 9, 1, 2
2024/4/9, 49, 21, 36, 14, 1, 3
2024/4/10, 62, 35, 40, 12, 1, 3
2024/4/11, 74, 45, 41, 13, 1, 3
2024/4/12, 89, 34, 43, 11, , 4
2024/4/13, 84, 27, 35, 6, , 3
2024/4/14, 72, 18, 27, 9, 1, 2
2024/4/15, 55, 30, 26, 10, , 3
2024/4/16, 82, 24, 25, 9, 1, 2
2024/4/17, 68, 16, 37, 10, 1, 3
2024/4/18, 54, 49, 55, 10, 2, 3
2024/4/19, 81, 29, 37, 10, 1, 3
2024/4/20, 69, 23, 31, 6, 1, 2
2024/4/21, 64, 28, 20, 12, , 3
2024/4/22, 81, 26, 26, 11, , 3
2024/4/23, 77, 8, 33, 10, , 3
2024/4/24, 49, 9, 35, 14, , 4
2024/4/25, 48, 12, 26, 16, , 4
2024/4/26, 50, 20, 48, 8, , 3
2024/4/27, 54, 11, 43, 7, 1, 2
2024/4/28, 46, 17, 37, 8, 2, 2
2024/4/29, 53, 18, 47, 12, 1, 3
2024/4/30, 60, 10, 46, 7, , 2
2024/5/1, 49, 11, 40, 10, 1, 3
2024/5/2, 46, 18, 43, 9, 1, 3
2024/5/3, 55, 23, 41, 7, , 2
2024/5/4, 57, 24, 33, 10, , 3
2024/5/5, 63, 22, 45, 10, , 3
2024/5/6, 68, 22, 44, 12, 1, 4
2024/5/7, 66, 31, 71, 8, 1, 4
2024/5/8, 74, 28, 69, 7, 1, 2
2024/5/9, 53, 22, 64, 9, 2, 3
2024/5/10, 35, 35, 46, 11, 2, 3
2024/5/11, 65, 25, 37, 9, 1, 3
2024/5/12, 57, 18, 41, 8, 1, 2
2024/5/13, 34, 29, 41, 10, 2, 2
2024/5/14, 45, 27, 55, 11, 2, 2
2024/5/15, 43, 36, 71, 8, 3, 2
2024/5/16, 54, 34, 62, 10, 2, 2
2024/5/17, 55, 34, 55, 10, 1, 3
2024/5/18, 66, 16, 44, 7, , 2
2024/5/19, 40, 16, 32, 10, , 3
2024/5/20, 39, 9, 34, 8, , 2
2024/5/21, 36, 12, 29, 8, , 2
2024/5/22, 24, 14, 28, 11, 1, 2
2024/5/23, 40, 10, 25, 14, , 3
2024/5/24, 30, 16, 27, 11, 1, 3
2024/5/25, 33, 19, 38, 12, , 3
2024/5/26, 49, 17, 20, 9, , 2
2024/5/27, 36, 16, 40, 6, , 1
2024/5/28, 32, 28, 46, 8, 1, 2
2024/5/29, 42, 22, 44, 10, 1, 3
2024/5/30, 47, 15, 30, 8, , 2
2024/5/31, 28, 13, 27, 6, , 2
2024/6/1, 21, 6, 44, 8, , 2
2024/6/2, 23, 16, 41, 7, , 1
