date, pm25, pm10, o3, no2, so2, co
2023/6/13, 30, 17, 37, 8, , 2
2023/6/14, 30, 15, 36, 12, 1, 3
2023/6/15, 33, 12, 38, 8, 1, 2
2023/6/16, 23, 16, 24, 9, , 3
2023/6/17, 25, 21, 21, 7, 1, 2
2023/6/18, 41, 17, 18, 7, 1, 1
2023/6/19, 40, 16, 20, 5, , 1
2023/6/20, 21, 15, 19, 6, , 1
2023/6/21, 21, 15, 19, 6, , 1
2023/6/22, 21, 11, 18, 5, , 1
2023/6/23, 18, 13, 34, 6, 1, 1
2023/6/24, 25, 14, 19, 5, 1, 1
2023/6/25, 20, 15, 22, 7, , 1
2023/6/26, 26, 16, 33, 7, , 1
2023/6/27, 32, 17, 32, 9, , 2
2023/6/28, 35, 16, 37, 7, 1, 2
2023/6/29, 40, 12, 24, 6, 1, 1
2023/6/30, 25, 14, 27, 7, 1, 2
2023/1/2, 44, 13, 33, 7, , 2
2023/1/3, 30, 12, 26, 9, , 2
2023/1/4, 30, 20, 27, 8, , 2
2023/1/5, 37, 18, 28, 10, , 2
2023/1/6, 39, 35, 40, 9, , 3
2023/1/7, 63, 45, 44, 13, 1, 4
2023/1/8, 85, 57, 30, 17, 1, 4
2023/1/9, 93, 18, 29, 11, , 2
2023/1/10, 36, 23, 24, 10, , 2
2023/1/11, 39, 35, 26, 12, , 3
2023/1/12, 65, 37, 36, 26, 1, 7
2023/1/13, 80, 35, 24, 21, 2, 5
2023/1/14, 68, 9, 22, 6, , 2
2023/1/15, 22, 18, 24, 8, 1, 3
2023/1/16, 45, 15, 24, 9, 1, 2
2023/1/17, 27, 37, 29, 9, , 3
2023/1/18, 74, 39, 35, 11, , 4
2023/1/19, 71, 36, 38, 7, , 3
2023/1/20, 61, 32, 38, 7, , 3
2023/1/21, 61, 34, 28, 7, , 2
2023/1/22, 66, 23, 26, 5, , 2
2023/1/23, 43, 32, 30, 3, 1, 2
2023/1/24, 60, 18, 29, 4, , 2
2023/1/25, 42, 20, 25, 10, , 2
2023/1/26, 46, 41, 34, 6, 1, 2
2023/1/27, 68, 38, 31, 5, 1, 2
2023/1/28, 63, 34, 34, 6, , 3
2023/1/29, 63, 28, 38, 11, , 3
2023/1/30, 54, 33, 46, 16, 1, 4
2023/1/31, 63, 34, 28, 25, , 5
2023/2/1, 67, 46, 37, 10, 1, 3
2023/2/2, 72, 30, 28, 10, 1, 2
2023/2/3, 48, 17, 24, 11, , 2
2023/2/4, 39, 12, 32, 8, , 3
2023/2/5, 33, 26, 24, 15, , 4
2023/2/6, 56, 35, 23, 15, , 3
2023/2/7, 69, 20, 32, 9, , 2
2023/2/8, 38, 31, 35, 12, , 4
2023/2/9, 62, 35, 20, 17, , 5
2023/2/10, 74, 33, 25, 17, 1, 5
2023/2/11, 58, 36, 27, 22, 1, 7
2023/2/12, 77, 31, 31, 14, , 5
2023/2/13, 62, 25, 34, 7, 1, 2
2023/2/14, 49, 31, 33, 6, , 1
2023/2/15, 52, 27, 32, 9, , 2
2023/2/16, 45, 40, 34, 17, 1, 4
2023/2/17, 69, 46, 30, 22, 1, 6
2023/2/18, 103, 42, 40, 11, , 5
2023/2/19, 96, 48, 41, 7, , 3
2023/2/20, 77, 31, 32, 6, 1, 1
2023/2/21, 45, 23, 30, 6, , 1
2023/2/22, 40, 21, 29, 8, , 2
2023/2/23, 36, 13, 34, 6, 1, 2
2023/2/24, 29, 45, 40, 6, 1, 2
2023/2/25, 76, 22, 35, 4, , 1
2023/2/26, 42, 18, 35, 6, , 1
2023/2/27, 30, 35, 34, 11, , 2
2023/2/28, 60, 24, 34, 9, , 2
2023/3/1, 60, 51, 47, 9, 1, 3
2023/3/2, 90, 33, 35, 11, , 2
2023/3/3, 47, 32, 49, 11, 1, 2
2023/3/4, 54, 29, 45, 5, 1, 2
2023/3/5, 42, 26, 38, 9, 1, 2
2023/3/6, 43, 34, 50, 22, 1, 5
2023/3/7, 70, 44, 55, 22, 1, 5
2023/3/8, 89, 42, 56, 19, 1, 4
2023/3/9, 84, 30, 46, 13, , 3
2023/3/10, 60, 35, 67, 12, 2, 3
2023/3/11, 74, 38, 45, 11, 1, 3
2023/3/12, 76, 43, 33, 9, , 2
2023/3/13, 57, 33, 38, 13, , 3
2023/3/14, 54, 39, 48, 13, , 3
2023/3/15, 66, 38, 30, 12, 1, 3
2023/3/16, 67, 40, 36, 13, , 3
2023/3/17, 67, 26, 33, 10, , 3
2023/3/18, 51, 28, 42, 6, , 2
2023/3/19, 50, 38, 38, 9, , 3
2023/3/20, 62, 29, 30, 9, 1, 3
2023/3/21, 64, 22, 26, 7, , 2
2023/3/22, 52, 19, 24, 8, , 2
2023/3/23, 48, 30, 41, 11, , 3
2023/3/24, 62, 17, 31, 8, , 2
2023/3/25, 35, 18, 35, 8, , 3
2023/3/26, 44, 29, 40, 8, , 2
2023/3/27, 52, 14, 36, 10, , 2
2023/3/28, 29, 14, 36, 11, , 3
2023/3/29, 33, 16, 45, 8, , 2
2023/3/30, 40, 16, 36, 10, 1, 3
2023/3/31, 38, 22, 22, 16, , 3
2022/10/1, 84, 37, 46, 9, 1, 3
2022/10/2, 81, 35, 39, 12, 1, 3
2022/10/3, 81, 32, 44, 10, 1, 3
2022/10/4, 73, 23, 30, 7, 1, 2
2022/10/5, 30, 12, 30, 7, 1, 2
2022/10/6, 27, 16, 26, 9, , 2
2022/10/7, 35, 14, 30, 6, 1, 1
2022/10/8, 28, 12, 32, 6, , 2
2022/10/9, 26, 28, 34, 6, 1, 2
2022/10/10, 53, 28, 34, 6, 1, 1
2022/10/11, 40, 14, 31, 5, 1, 1
2022/10/12, 19, 23, 36, 5, 1, 1
2022/10/13, 39, 26, 33, 5, , 1
2022/10/14, 47, 14, 30, 4, , 1
2022/10/15, 35, 5, 26, 4, , 1
2022/10/16, 12, 9, 37, 4, , 2
2022/10/17, 28, 17, 31, 6, 1, 1
2022/10/18, 35, 25, 29, 5, 3, 1
2022/10/19, 30, 23, 31, 6, 1, 1
2022/10/20, 26, 20, 31, 8, 1, 2
2022/10/21, 32, 11, 22, 6, , 1
2022/10/22, 18, 18, 35, 5, , 1
2022/10/23, 38, 31, 38, 5, 1, 1
2022/10/24, 37, 25, 31, 6, 1, 1
2022/10/25, 28, 18, 33, 7, 1, 1
2022/10/26, 22, 17, 32, 7, 1, 1
2022/10/27, 25, 15, 30, 5, , 1
2022/10/28, 21, 22, 31, 5, , 1
2022/10/29, 40, 19, 30, 3, , 1
2022/10/30, 50, 9, 31, 4, 1, 1
2022/10/31, 28, 8, 30, 4, , 1
2022/11/1, 14, 7, 32, 5, , 1
2022/11/2, 17, 9, 33, 9, 1, 2
2022/11/3, 20, 16, 32, 7, , 2
2022/11/4, 35, 14, 28, 5, 1, 1
2022/11/5, 30, 9, 31, 4, , 1
2022/11/6, 20, 8, 26, 7, , 2
2022/11/7, 17, 13, 25, 9, 1, 2
2022/11/8, 25, 22, 44, 16, 1, 4
2022/11/9, 45, 23, 31, 13, 1, 3
2022/11/10, 47, 20, 26, 11, , 3
2022/11/11, 39, 30, 24, 12, 1, 3
2022/11/12, 68, 27, 31, 11, 1, 3
2022/11/13, 58, 25, 34, 9, 1, 3
2022/11/14, 46, 24, 36, 10, 1, 3
2022/11/15, 43, 14, 23, 10, 1, 2
2022/11/16, 26, 27, 34, 14, 1, 3
2022/11/17, 51, 27, 30, 11, 1, 3
2022/11/18, 48, 25, 33, 10, 1, 2
2022/11/19, 40, 18, 30, 10, 1, 2
2022/11/20, 36, 13, 33, 8, 1, 2
2022/11/21, 22, 29, 27, 11, 1, 3
2022/11/22, 53, 16, 26, 10, , 3
2022/11/23, 39, 9, 25, 12, , 3
2022/11/24, 32, 12, 26, 9, , 3
2022/11/25, 30, 9, 30, 7, , 2
2022/11/26, 19, 34, 39, 11, 2, 4
2022/11/27, 72, 34, 41, 13, 1, 4
2022/11/28, 73, 32, 22, 15, 1, 4
2022/11/29, 63, 12, 23, 6, 1, 2
2022/11/30, 24, 7, 21, 7, 1, 1
2022/12/1, 19, 7, 23, 8, , 2
2022/12/2, 17, 11, 21, 9, , 2
2022/12/3, 20, 12, 23, 7, , 2
2022/12/4, 20, 6, 25, 6, 1, 2
2022/12/5, 13, 12, 26, 6, 1, 1
2022/12/6, 17, 14, 25, 9, 1, 2
2022/12/7, 33, 12, 26, 9, 1, 2
2022/12/8, 35, 9, 26, 8, 1, 2
2022/12/9, 30, 18, 34, 7, 1, 2
2022/12/10, 39, 12, 29, 6, 1, 3
2022/12/11, 46, 16, 27, 8, 1, 2
2022/12/12, 44, 23, 31, 9, 1, 3
2022/12/13, 55, 17, 31, 8, 1, 2
2022/12/14, 47, 8, 26, 9, 2, 2
2022/12/15, 24, 7, 26, 8, 1, 2
2022/12/16, 18, 18, 28, 6, 2, 2
2022/12/17, 38, 31, 27, 5, 1, 2
2022/12/18, 53, 26, 23, 12, 1, 3
2022/12/19, 41, 23, 22, 23, 1, 7
2022/12/20, 47, 30, 21, 17, 1, 4
2022/12/21, 59, 36, 35, 11, 1, 2
2022/12/22, 56, 40, 31, 10, 1, 2
2022/12/23, 60, 24, 33, 6, 1, 2
2022/12/24, 48, 27, 33, 7, 1, 2
2022/12/25, 58, 26, 29, 11, 1, 2
2022/12/26, 49, 22, 29, 11, , 2
2022/12/27, 43, 20, 35, 9, , 3
2022/12/28, 50, 19, 30, 9, , 3
2022/12/29, 55, 9, 29, 6, 1, 2
2022/12/30, 25, 11, 31, 4, , 2
2022/12/31, 37, 9, 29, 5, , 2
2023/1/1, 27, 15, 37, 6, , 2
2022/7/1, 46, 16, 24, 8, , 2
2022/7/2, 35, 20, 25, 6, , 1
2022/7/3, 26, 18, 25, 7, , 1
2022/7/4, 29, 18, 24, 9, , 2
2022/7/5, 22, 17, 23, 8, , 2
2022/7/6, 23, 16, 28, 7, , 1
2022/7/7, 28, 13, 17, 7, , 1
2022/7/8, 23, 17, 26, 7, , 1
2022/7/9, 31, 14, 14, 6, , 1
2022/7/10, 23, 13, 14, 6, , 1
2022/7/11, 22, 10, 15, 6, , 1
2022/7/12, 16, 11, 26, 7, , 1
2022/7/13, 26, 13, 23, 8, 1, 1
2022/7/14, 26, 13, 20, 6, , 1
2022/7/15, 22, 13, 27, 4, , 1
2022/7/16, 22, 16, 22, 4, , 1
2022/7/17, 22, 19, 17, 5, , 1
2022/7/18, 25, 20, 19, 8, , 1
2022/7/19, 32, 20, 26, 7, , 2
2022/7/20, 27, 15, 18, 8, 1, 1
2022/7/21, 14, 14, 19, 9, 1, 2
2022/7/22, 29, 15, 20, 9, 1, 1
2022/7/23, 30, 14, 20, 9, 2, 1
2022/7/24, 31, 16, 33, 6, , 1
2022/7/25, 38, 13, 25, 6, 1, 1
2022/7/26, 30, 15, 20, 7, , 1
2022/7/27, 27, 15, 28, 7, , 1
2022/7/28, 34, 22, 30, 8, , 1
2022/7/29, 50, 13, 17, 9, 1, 1
2022/7/30, 28, 16, 28, 7, 1, 1
2022/7/31, 31, 23, 43, 10, 1, 2
2022/8/1, 54, 17, 23, 12, , 3
2022/8/2, 47, 18, 44, 8, 1, 2
2022/8/3, 36, 14, 34, 9, , 2
2022/8/4, 33, 14, 20, 7, , 1
2022/8/5, 24, 12, 18, 7, , 1
2022/8/6, 18, 13, 31, 6, 1, 1
2022/8/7, 26, 18, 41, 9, 1, 2
2022/8/8, 35, 19, 38, 7, 1, 1
2022/8/9, 39, 18, 28, 7, 1, 1
2022/8/10, 45, 16, 32, 7, , 2
2022/8/11, 39, 14, 23, 7, , 2
2022/8/12, 34, 12, 25, 7, , 1
2022/8/13, 32, 13, 32, 5, 1, 1
2022/8/14, 28, 13, 24, 4, , 1
2022/8/15, 28, 13, 24, 6, , 1
2022/8/16, 31, 15, 28, 8, , 1
2022/8/17, 33, 11, 19, 8, , 1
2022/8/18, 19, 15, 21, 10, , 2
2022/8/19, 34, 20, 23, 8, 1, 2
2022/8/20, 39, 17, 21, 7, 1, 2
2022/8/21, 38, 20, 44, 9, 1, 2
2022/8/22, 40, 25, 41, 8, 1, 2
2022/8/23, 53, 27, 49, 8, , 2
2022/8/24, 54, 22, 32, 8, , 2
2022/8/25, 40, 13, 21, 7, 1, 1
2022/8/26, 19, 20, 38, 4, 1, 2
2022/8/27, 41, 18, 33, 8, , 2
2022/8/28, 42, 20, 34, 8, 1, 2
2022/8/29, 40, 21, 41, 10, , 2
2022/8/30, 50, 23, 36, 8, 1, 2
2022/8/31, 47, 26, 43, 6, , 2
2022/9/1, 37, 22, 38, 6, , 2
2022/9/2, 42, 15, 27, 3, , 1
2022/9/3, 26, 14, 29, 6, , 2
2022/9/4, 27, 25, 49, 7, 1, 3
2022/9/5, 52, 25, 45, 12, 1, 3
2022/9/6, 54, 25, 30, 13, 1, 3
2022/9/7, 46, 33, 56, 10, 2, 2
2022/9/8, 52, 44, 76, 7, 2, 3
2022/9/9, 76, 21, 41, 6, 2, 2
2022/9/10, 28, 20, 21, 7, , 1
2022/9/11, 35, 17, 29, 5, , 1
2022/9/12, 29, 20, 39, 6, , 2
2022/9/13, 34, 29, 64, 10, 1, 3
2022/9/14, 50, 35, 70, 12, 1, 4
2022/9/15, 70, 28, 46, 10, 1, 3
2022/9/16, 58, 23, 51, 9, 1, 3
2022/9/17, 45, 24, 60, 10, 2, 3
2022/9/18, 51, 35, 53, 12, 2, 3
2022/9/19, 68, 46, 57, 7, 2, 2
2022/9/20, 53, 34, 34, 7, 1, 1
2022/9/21, 29, 24, 41, 8, 2, 1
2022/9/22, 24, 28, 49, 9, 1, 2
2022/9/23, 29, 28, 42, 7, 1, 2
2022/9/24, 38, 21, 29, 5, , 1
2022/9/25, 22, 15, 18, 7, , 1
2022/9/26, 22, 14, 32, 8, , 1
2022/9/27, 19, 24, 38, 10, , 2
2022/9/28, 42, 38, 64, 12, , 3
2022/9/29, 75, 43, 49, 12, 1, 3
2022/9/30, 87, 42, 52, 12, , 3
2022/4/1, 59, 12, 38, 7, 1, 2
2022/4/2, 40, 15, 38, 6, , 2
2022/4/3, 45, 22, 41, 6, , 2
2022/4/4, 42, 26, 49, 10, 1, 3
2022/4/5, 55, 27, 40, 11, 1, 3
2022/4/6, 60, 21, 36, 9, 1, 2
2022/4/7, 58, 18, 34, 8, , 1
2022/4/8, 42, 26, 53, 9, 1, 2
2022/4/9, 61, 38, 46, 11, 1, 3
2022/4/10, 88, 30, 24, 16, , 4
2022/4/11, 77, 22, 19, 16, 1, 3
2022/4/12, 62, 17, 24, 12, 1, 2
2022/4/13, 49, 20, 36, 12, 1, 2
2022/4/14, 52, 11, 36, 7, , 2
2022/4/15, 34, 35, 46, 7, 1, 3
2022/4/16, 64, 29, 40, 9, 1, 3
2022/4/17, 68, 36, 41, 11, 1, 3
2022/4/18, 74, 32, 44, 15, 1, 4
2022/4/19, 88, 24, 47, 14, 1, 4
2022/4/20, 66, 28, 43, 13, , 4
2022/4/21, 64, 24, 35, 12, , 5
2022/4/22, 58, 24, 28, 14, , 4
2022/4/23, 60, 22, 20, 9, , 3
2022/4/24, 56, 20, 17, 9, , 3
2022/4/25, 56, 19, 18, 7, , 2
2022/4/26, 44, 27, 20, 10, , 2
2022/4/27, 61, 28, 39, 7, 1, 2
2022/4/28, 60, 24, 40, 9, 1, 2
2022/4/29, 52, 17, 40, 8, 1, 2
2022/4/30, 39, 9, 41, 6, , 2
2022/5/1, 30, 11, 38, 9, 1, 2
2022/5/2, 41, 11, 35, 8, , 2
2022/5/3, 22, 10, 43, 9, , 2
2022/5/4, 24, 10, 35, 9, , 2
2022/5/5, 15, 12, 37, 10, , 2
2022/5/6, 21, 16, 38, 10, , 2
2022/5/7, 32, 17, 29, 6, , 1
2022/5/8, 33, 22, 20, 13, 1, 2
2022/5/9, 47, 13, 26, 11, , 3
2022/5/10, 34, 9, 24, 8, , 1
2022/5/11, 25, 20, 33, 11, 1, 3
2022/5/12, 42, 16, 20, 8, , 2
2022/5/13, 25, 6, 37, 8, , 2
2022/5/14, 16, 7, 43, 4, , 2
2022/5/15, 21, 3, 43, 7, , 1
2022/5/16, 18, 18, 53, 10, 1, 2
2022/5/17, 40, 19, 42, 9, , 2
2022/5/18, 35, 14, 36, 8, , 2
2022/5/19, 23, 12, 34, 8, , 2
2022/5/20, 24, 16, 31, 9, 1, 2
2022/5/21, 23, 15, 27, 10, 1, 2
2022/5/22, 32, 14, 31, 12, 1, 3
2022/5/23, 27, 14, 23, 13, , 3
2022/5/24, 31, 8, 11, 17, , 3
2022/5/25, 24, 6, 23, 13, , 3
2022/5/26, 13, 12, 21, 18, , 3
2022/5/27, 33, 14, 19, 8, , 2
2022/5/28, 26, 14, 20, 6, 1, 2
2022/5/29, 23, 13, 17, 8, , 2
2022/5/30, 20, 12, 23, 7, , 2
2022/5/31, 23, 15, 23, 9, , 2
2022/6/1, 22, 15, 17, 7, 1, 1
2022/6/2, 18, 12, 15, 6, , 1
2022/6/3, 17, 12, 19, 5, 1, 1
2022/6/4, 15, 18, 19, 3, , 1
2022/6/5, 16, 15, 22, 4, , 1
2022/6/6, 19, 10, 25, 15, , 2
2022/6/7, 24, 8, 23, 16, , 3
2022/6/8, 20, 12, 29, 12, , 3
2022/6/9, 30, 18, 22, 9, , 2
2022/6/10, 27, 12, 28, 7, , 1
2022/6/11, 19, 10, 31, 6, , 2
2022/6/12, 15, 16, 20, 7, , 2
2022/6/13, 19, 11, 17, 4, 1, 1
2022/6/14, 12, 15, 12, 10, , 3
2022/6/15, 24, 13, 18, 9, , 2
2022/6/16, 19, 15, 11, 8, , 2
2022/6/17, 23, 16, 18, 7, , 2
2022/6/18, 29, 20, 18, 7, , 1
2022/6/19, 49, 17, 17, 7, 1, 1
2022/6/20, 43, 16, 17, 9, , 1
2022/6/21, 37, 14, 15, 9, , 1
2022/6/22, 30, 18, 27, 7, , 2
2022/6/23, 39, 14, 19, 8, , 1
2022/6/24, 18, 14, 23, 9, , 2
2022/6/25, 22, 13, 24, 8, , 2
2022/6/26, 20, 15, 19, 8, , 2
2022/6/27, 28, 17, 25, 7, , 1
2022/6/28, 32, 19, 33, 9, , 2
2022/6/29, 38, 20, 28, 8, , 2
2022/6/30, 29, 23, 52, 9, , 2
2022/1/3, 81, 15, 31, 15, 2, 3
2022/1/4, 45, 26, 27, 20, , 4
2022/1/5, 67, 20, 26, 11, 1, 3
2022/1/6, 50, 19, 28, 11, 1, 2
2022/1/7, 49, 19, 30, 9, 1, 2
2022/1/8, 46, 21, 32, 8, 1, 2
2022/1/9, 54, 17, 29, 9, , 2
2022/1/10, 46, 33, 32, 11, 1, 5
2022/1/11, 84, 22, 28, 16, 1, 3
2022/1/12, 57, 35, 34, 16, 1, 4
2022/1/13, 85, 38, 29, 15, 1, 4
2022/1/14, 84, 27, 33, 18, 2, 4
2022/1/15, 65, 26, 32, 11, 2, 4
2022/1/16, 66, 11, 32, 9, , 3
2022/1/17, 40, 11, 31, 10, 1, 2
2022/1/18, 35, 13, 31, 9, 1, 2
2022/1/19, 40, 11, 35, 7, 1, 2
2022/1/20, 31, 9, 31, 17, , 3
2022/1/21, 40, 11, 23, 17, 1, 3
2022/1/22, 39, 19, 18, 15, , 4
2022/1/23, 61, 15, 29, 10, , 2
2022/1/24, 42, 19, 29, 11, 2, 3
2022/1/25, 53, 28, 32, 10, 1, 3
2022/1/26, 59, 35, 32, 9, 1, 4
2022/1/27, 73, 13, 30, 8, , 3
2022/1/28, 42, 7, 29, 6, , 2
2022/1/29, 28, 9, 29, 4, , 2
2022/1/30, 30, 21, 32, 5, 1, 2
2022/1/31, 50, 14, 33, 9, 1, 2
2022/2/1, 53, 6, 36, 3, , 2
2022/2/2, 24, 4, 35, 3, 1, 2
2022/2/3, 19, 9, 33, 4, , 2
2022/2/4, 30, 16, 37, 5, , 2
2022/2/5, 52, 13, 37, 6, , 2
2022/2/6, 43, 12, 20, 12, , 3
2022/2/7, 38, 12, 28, 7, 1, 2
2022/2/8, 33, 15, 24, 10, 1, 2
2022/2/9, 39, 14, 28, 10, , 2
2022/2/10, 41, 26, 30, 12, , 4
2022/2/11, 52, 23, 33, 8, , 3
2022/2/12, 47, 19, 31, 8, 1, 3
2022/2/13, 46, 17, 34, 10, , 3
2022/2/14, 47, 29, 36, 10, 1, 3
2022/2/15, 59, 31, 37, 8, 1, 3
2022/2/16, 65, 12, 31, 9, , 3
2022/2/17, 42, 7, 30, 9, 2, 2
2022/2/18, 30, 6, 33, 6, , 2
2022/2/19, 24, 10, 32, 4, , 2
2022/2/20, 43, 5, 31, 10, , 2
2022/2/21, 33, 4, 36, 8, , 2
2022/2/22, 19, 4, 37, 7, 1, 2
2022/2/23, 23, 12, 31, 8, , 2
2022/2/24, 42, 16, 29, 12, 1, 2
2022/2/25, 44, 32, 37, 14, , 4
2022/2/26, 66, 27, 45, 11, 1, 3
2022/2/27, 64, 36, 55, 18, 1, 6
2022/2/28, 90, 21, 21, 16, 1, 4
2022/3/1, 57, 49, 50, 12, 2, 4
2022/3/2, 108, 45, 52, 16, 1, 6
2022/3/3, 97, 56, 43, 19, 1, 6
2022/3/4, 113, 35, 42, 17, 1, 4
2022/3/5, 78, 31, 46, 7, , 3
2022/3/6, 59, 10, 34, 8, 1, 2
2022/3/7, 34, 19, 34, 10, , 2
2022/3/8, 40, 31, 48, 14, 1, 3
2022/3/9, 56, 36, 45, 18, , 4
2022/3/10, 75, 34, 45, 19, 1, 4
2022/3/11, 81, 35, 29, 23, 2, 5
2022/3/12, 91, 33, 35, 14, 1, 3
2022/3/13, 79, 25, 38, 19, , 4
2022/3/14, 65, 39, 38, 18, 1, 4
2022/3/15, 86, 45, 44, 14, 1, 4
2022/3/16, 105, 37, 34, 11, , 3
2022/3/17, 88, 22, 28, 14, , 3
2022/3/18, 59, 23, 44, 13, 2, 4
2022/3/19, 59, 31, 45, 11, , 4
2022/3/20, 71, 42, 33, 12, , 4
2022/3/21, 92, 18, 31, 10, , 2
2022/3/22, 47, 8, 35, 10, , 2
2022/3/23, 32, 19, 31, 19, 1, 5
2022/3/24, 58, 35, 41, 19, , 7
2022/3/25, 88, 16, 35, 8, , 2
2022/3/26, 50, 13, 38, 7, , 2
2022/3/27, 46, 12, 32, 12, 1, 2
2022/3/28, 43, 32, 36, 12, , 4
2022/3/29, 48, 35, 36, 15, , 4
2022/3/30, 78, 20, 40, 11, 1, 3
2022/3/31, 59, 28, 38, 7, , 2
2021/10/1, 75, 25, 49, 10, 1, 2
2021/10/2, 60, 22, 56, 9, 1, 2
2021/10/3, 58, 35, 69, 11, 1, 3
2021/10/4, 72, 27, 55, 9, 1, 2
2021/10/5, 47, 22, 61, 11, 1, 2
2021/10/6, 49, 34, 71, 13, 1, 3
2021/10/7, 68, 34, 66, 13, 2, 4
2021/10/8, 74, 25, 37, 9, , 2
2021/10/9, 51, 25, 23, 6, , 1
2021/10/10, 32, 8, 14, 5, , 1
2021/10/11, 30, 15, 21, 7, 1, 2
2021/10/12, 40, 23, 13, 15, , 3
2021/10/13, 52, 27, 48, 10, , 3
2021/10/14, 58, 24, 43, 11, 1, 2
2021/10/15, 49, 17, 32, 7, , 1
2021/10/16, 33, 17, 31, 6, 1, 1
2021/10/17, 34, 18, 28, 11, 1, 2
2021/10/18, 31, 20, 32, 12, , 2
2021/10/19, 32, 17, 40, 10, , 2
2021/10/20, 37, 10, 27, 9, 1, 2
2021/10/21, 29, 6, 41, 11, , 2
2021/10/22, 33, 12, 40, 8, 1, 2
2021/10/23, 38, 7, 33, 7, , 2
2021/10/24, 30, 14, 33, 7, , 1
2021/10/25, 34, 14, 33, 9, 1, 2
2021/10/26, 36, 19, 39, 10, 1, 2
2021/10/27, 39, 24, 43, 10, 2, 2
2021/10/28, 49, 24, 37, 12, 3, 2
2021/10/29, 47, 20, 36, 11, 2, 2
2021/10/30, 42, 21, 40, 9, 3, 2
2021/10/31, 49, 19, 35, 9, 1, 2
2021/11/1, 40, 25, 38, 11, 2, 2
2021/11/2, 49, 22, 38, 11, 1, 3
2021/11/3, 53, 20, 42, 16, 2, 4
2021/11/4, 53, 35, 46, 17, 2, 5
2021/11/5, 80, 28, 37, 14, 3, 4
2021/11/6, 66, 19, 41, 10, 2, 2
2021/11/7, 43, 21, 30, 10, 1, 2
2021/11/8, 42, 32, 32, 9, , 2
2021/11/9, 56, 25, 35, 15, 1, 2
2021/11/10, 50, 19, 44, 12, , 2
2021/11/11, 43, 18, 35, 15, 1, 2
2021/11/12, 50, 11, 31, 10, 1, 2
2021/11/13, 36, 15, 36, 7, 1, 2
2021/11/14, 36, 19, 35, 11, 1, 2
2021/11/15, 43, 26, 53, 14, 2, 3
2021/11/16, 56, 28, 44, 16, 2, 3
2021/11/17, 60, 15, 28, 14, 2, 3
2021/11/18, 38, 17, 32, 12, 1, 2
2021/11/19, 37, 20, 33, 10, 2, 2
2021/11/20, 49, 28, 43, 9, 1, 3
2021/11/21, 57, 20, 22, 10, , 4
2021/11/22, 39, 34, 24, 13, 1, 3
2021/11/23, 55, 26, 21, 13, 3, 3
2021/11/24, 46, 19, 27, 17, 2, 3
2021/11/25, 41, 18, 40, 8, 1, 1
2021/11/26, 33, 16, 43, 7, 1, 2
2021/11/27, 41, 11, 29, 10, 1, 2
2021/11/28, 32, 14, 25, 17, 1, 4
2021/11/29, 37, 29, 27, 11, 2, 3
2021/11/30, 60, 42, 24, 9, 1, 3
2021/12/1, 70, 27, 27, 11, 1, 2
2021/12/2, 53, 24, 39, 15, 1, 3
2021/12/3, 53, 28, 36, 8, 1, 2
2021/12/4, 52, 14, 32, 7, 1, 2
2021/12/5, 38, 10, 26, 8, 1, 2
2021/12/6, 33, 19, 30, 9, 1, 2
2021/12/7, 38, 24, 35, 9, 1, 2
2021/12/8, 47, 22, 24, 16, 2, 3
2021/12/9, 51, 17, 28, 11, 2, 2
2021/12/10, 41, 18, 30, 11, , 2
2021/12/11, 49, 16, 33, 6, 1, 2
2021/12/12, 48, 18, 28, 9, , 3
2021/12/13, 48, 15, 32, 14, 1, 3
2021/12/14, 35, 27, 38, 20, 2, 5
2021/12/15, 60, 42, 33, 16, 1, 4
2021/12/16, 92, 41, 35, 9, 1, 3
2021/12/17, 77, 34, 28, 8, 1, 2
2021/12/18, 54, 18, 31, 6, 1, 2
2021/12/19, 34, 20, 17, 23, 1, 5
2021/12/20, 52, 20, 26, 17, 1, 5
2021/12/21, 58, 12, 31, 10, , 3
2021/12/22, 32, 32, 31, 12, , 3
2021/12/23, 62, 26, 26, 12, 1, 3
2021/12/24, 61, 23, 34, 7, 1, 2
2021/12/25, 56, 9, 28, 4, 1, 2
2021/12/26, 33, 12, 28, 9, , 2
2021/12/27, 46, 11, 26, 11, 1, 3
2021/12/28, 33, 19, 23, 15, 1, 3
2021/12/29, 57, 40, 33, 12, 1, 4
2021/12/30, 82, 28, 31, 9, 1, 3
2021/12/31, 61, 15, 28, 9, 2, 2
2022/1/1, 47, 21, 38, 9, 1, 2
2022/1/2, 52, 39, 39, 13, 2, 4
2021/7/1, 34, 20, 22, 5, 2, 1
2021/7/2, 39, 21, 24, 7, 3, 1
2021/7/3, 45, 19, 26, 7, 2, 2
2021/7/4, 49, 15, 29, 5, 3, 1
2021/7/5, 32, 22, 30, 6, 2, 1
2021/7/6, 49, 15, 27, 6, 2, 1
2021/7/7, 41, 21, 20, 7, 1, 1
2021/7/8, 38, , 22, 8, 1, 1
2021/7/9, 35, , 13, 7, 1, 1
2021/7/10, 33, , 24, 4, 1, 1
2021/7/11, 26, 18, 26, 5, , 1
2021/7/12, 28, 15, 21, 7, , 1
2021/7/13, 38, 15, 27, 7, 1, 1
2021/7/14, 29, 16, 36, 7, , 1
2021/7/15, 38, 18, 46, 9, 2, 2
2021/7/16, 48, 25, 47, 7, 1, 2
